GTOPO30_ASPECT_reduced,x,y
178.0,-148.54167855,64.79167185
161.0,-148.12501185,64.79167185
59.0,-146.87501175,64.79167185
147.0,-153.12501225,64.37500515
87.0,-153.12501225,63.95833845
12.0,121.45834305,63.95833845
15.0,125.20834335,63.95833845
-9999.0,127.29167685,63.95833845
-9999.0,-153.54167895,63.54167175
72.0,-137.29167765,63.54167175
23.0,-134.79167745,63.54167175
192.0,-134.37501075,63.54167175
332.0,-133.95834405,63.54167175
180.0,-133.54167735,63.54167175
98.0,119.37500955,63.54167175
0.0,119.79167625,63.54167175
115.0,-137.29167765,63.12500505
353.0,-133.95834405,63.12500505
214.0,-132.70834395,63.12500505
339.0,93.95834085,63.12500505
248.0,94.37500755,63.12500505
192.0,95.62500765,63.12500505
322.0,96.04167435,63.12500505
166.0,117.70834275,63.12500505
240.0,118.12500945,63.12500505
229.0,119.37500955,63.12500505
137.0,119.79167625,63.12500505
295.0,120.62500965,63.12500505
349.0,130.62501045,63.12500505
348.0,-150.20834535,62.70833835
164.0,-148.12501185,62.70833835
2.0,-138.54167775,62.70833835
288.0,86.04167355,62.70833835
172.0,86.45834025,62.70833835
147.0,95.62500765,62.70833835
282.0,96.04167435,62.70833835
211.0,118.12500945,62.70833835
44.0,118.54167615,62.70833835
154.0,119.37500955,62.70833835
29.0,121.87500975,62.70833835
333.0,129.37501035,62.70833835
4.0,130.62501045,62.70833835
98.0,-150.20834535,62.29167165
145.0,-134.79167745,62.29167165
199.0,-133.54167735,62.29167165
-9999.0,-115.20834255,62.29167165
-9999.0,17.70833475,62.29167165
333.0,85.62500685,62.29167165
172.0,93.12500745,62.29167165
160.0,93.54167415,62.29167165
6.0,93.95834085,62.29167165
65.0,94.37500755,62.29167165
301.0,96.04167435,62.29167165
183.0,96.87500775,62.29167165
49.0,113.95834245,62.29167165
173.0,114.37500915,62.29167165
196.0,114.79167585,62.29167165
195.0,117.70834275,62.29167165
358.0,118.12500945,62.29167165
177.0,118.54167615,62.29167165
311.0,119.79167625,62.29167165
277.0,126.04167675,62.29167165
21.0,126.45834345,62.29167165
243.0,126.87501015,62.29167165
342.0,128.54167695,62.29167165
332.0,129.37501035,62.29167165
130.0,129.79167705,62.29167165
56.0,130.62501045,62.29167165
180.0,131.04167715,62.29167165
113.0,-151.04167875,61.87500495
186.0,-135.62501085,61.87500495
347.0,-135.20834415,61.87500495
172.0,-134.37501075,61.87500495
263.0,-133.95834405,61.87500495
-9999.0,-112.70834235,61.87500495
25.0,84.79167345,61.87500495
46.0,93.12500745,61.87500495
305.0,93.54167415,61.87500495
150.0,93.95834085,61.87500495
355.0,94.37500755,61.87500495
332.0,96.04167435,61.87500495
13.0,96.87500775,61.87500495
193.0,113.12500905,61.87500495
183.0,113.54167575,61.87500495
121.0,113.95834245,61.87500495
161.0,117.70834275,61.87500495
207.0,119.79167625,61.87500495
176.0,120.62500965,61.87500495
236.0,121.87500975,61.87500495
108.0,125.62501005,61.87500495
180.0,126.87501015,61.87500495
168.0,129.37501035,61.87500495
200.0,-151.45834545,61.45833825
282.0,-151.04167875,61.45833825
130.0,-150.62501205,61.45833825
212.0,-150.20834535,61.45833825
262.0,-134.37501075,61.45833825
194.0,-133.12501065,61.45833825
141.0,87.29167365,61.45833825
167.0,95.62500765,61.45833825
341.0,96.04167435,61.45833825
233.0,113.54167575,61.45833825
217.0,113.95834245,61.45833825
125.0,121.04167635,61.45833825
342.0,126.04167675,61.45833825
162.0,126.45834345,61.45833825
330.0,130.20834375,61.45833825
175.0,-151.87501215,61.04167155
186.0,-151.45834545,61.04167155
-9999.0,-151.04167875,61.04167155
191.0,-136.45834425,61.04167155
348.0,-135.62501085,61.04167155
230.0,-134.79167745,61.04167155
315.0,-134.37501075,61.04167155
12.0,83.95834005,61.04167155
297.0,84.37500675,61.04167155
203.0,84.79167345,61.04167155
27.0,86.87500695,61.04167155
127.0,91.45834065,61.04167155
105.0,91.87500735,61.04167155
200.0,93.54167415,61.04167155
179.0,93.95834085,61.04167155
271.0,94.37500755,61.04167155
315.0,113.54167575,61.04167155
315.0,113.95834245,61.04167155
60.0,116.45834265,61.04167155
17.0,116.87500935,61.04167155
356.0,117.29167605,61.04167155
92.0,118.12500945,61.04167155
200.0,118.54167615,61.04167155
198.0,118.95834285,61.04167155
15.0,119.37500955,61.04167155
315.0,119.79167625,61.04167155
7.0,120.20834295,61.04167155
161.0,120.62500965,61.04167155
-9999.0,-166.87501335,60.62500485
-9999.0,-151.87501215,60.62500485
-9999.0,-151.45834545,60.62500485
188.0,-133.95834405,60.62500485
4.0,-133.12501065,60.62500485
169.0,-130.62501045,60.62500485
42.0,83.12500665,60.62500485
235.0,83.95834005,60.62500485
234.0,84.37500675,60.62500485
180.0,91.04167395,60.62500485
211.0,91.87500735,60.62500485
208.0,93.12500745,60.62500485
169.0,93.95834085,60.62500485
348.0,113.54167575,60.62500485
321.0,113.95834245,60.62500485
229.0,116.04167595,60.62500485
316.0,118.54167615,60.62500485
176.0,119.37500955,60.62500485
156.0,120.20834295,60.62500485
170.0,170.62501365,60.62500485
211.0,-132.70834395,60.20833815
15.0,-118.54167615,60.20833815
346.0,-118.12500945,60.20833815
205.0,-117.70834275,60.20833815
86.0,-116.87500935,60.20833815
8.0,-116.04167595,60.20833815
333.0,-114.37500915,60.20833815
356.0,81.87500655,60.20833815
328.0,91.04167395,60.20833815
338.0,91.45834065,60.20833815
330.0,91.87500735,60.20833815
169.0,95.62500765,60.20833815
343.0,96.04167435,60.20833815
331.0,111.87500895,60.20833815
159.0,112.29167565,60.20833815
278.0,121.04167635,60.20833815
184.0,130.20834375,60.20833815
10.0,130.62501045,60.20833815
70.0,-127.70834355,59.79167145
343.0,-125.20834335,59.79167145
350.0,-118.12500945,59.79167145
-9999.0,-117.70834275,59.79167145
35.0,-115.20834255,59.79167145
270.0,-111.87500895,59.79167145
175.0,91.04167395,59.79167145
347.0,91.45834065,59.79167145
216.0,91.87500735,59.79167145
55.0,92.29167405,59.79167145
200.0,92.70834075,59.79167145
160.0,93.12500745,59.79167145
209.0,93.54167415,59.79167145
100.0,93.95834085,59.79167145
147.0,94.37500755,59.79167145
75.0,94.79167425,59.79167145
306.0,95.20834095,59.79167145
129.0,95.62500765,59.79167145
42.0,101.04167475,59.79167145
89.0,111.45834225,59.79167145
206.0,112.29167565,59.79167145
149.0,112.70834235,59.79167145
206.0,113.12500905,59.79167145
208.0,115.20834255,59.79167145
35.0,118.95834285,59.79167145
128.0,130.20834375,59.79167145
126.0,-161.04167955,59.37500475
72.0,-131.45834385,59.37500475
232.0,-119.79167625,59.37500475
171.0,-117.70834275,59.37500475
291.0,-116.45834265,59.37500475
315.0,-115.62500925,59.37500475
56.0,-115.20834255,59.37500475
184.0,-114.79167585,59.37500475
193.0,-114.37500915,59.37500475
100.0,-113.95834245,59.37500475
29.0,70.20833895,59.37500475
210.0,70.62500565,59.37500475
212.0,71.87500575,59.37500475
177.0,78.12500625,59.37500475
347.0,79.37500635,59.37500475
180.0,81.87500655,59.37500475
351.0,83.12500665,59.37500475
150.0,85.62500685,59.37500475
57.0,90.62500725,59.37500475
50.0,91.04167395,59.37500475
183.0,91.87500735,59.37500475
307.0,92.29167405,59.37500475
89.0,92.70834075,59.37500475
152.0,93.12500745,59.37500475
207.0,93.54167415,59.37500475
216.0,93.95834085,59.37500475
222.0,94.37500755,59.37500475
240.0,94.79167425,59.37500475
244.0,95.20834095,59.37500475
338.0,95.62500765,59.37500475
202.0,96.04167435,59.37500475
346.0,99.79167465,59.37500475
96.0,100.20834135,59.37500475
329.0,101.87500815,59.37500475
148.0,111.04167555,59.37500475
209.0,113.12500905,59.37500475
351.0,113.54167575,59.37500475
356.0,117.29167605,59.37500475
23.0,117.70834275,59.37500475
309.0,118.12500945,59.37500475
309.0,119.37500955,59.37500475
225.0,132.29167725,59.37500475
193.0,-136.45834425,58.95833805
339.0,-116.87500935,58.95833805
225.0,-116.45834265,58.95833805
85.0,-115.20834255,58.95833805
159.0,-113.95834245,58.95833805
316.0,78.12500625,58.95833805
90.0,79.37500635,58.95833805
243.0,81.87500655,58.95833805
355.0,85.62500685,58.95833805
239.0,89.79167385,58.95833805
357.0,90.62500725,58.95833805
68.0,91.04167395,58.95833805
351.0,91.87500735,58.95833805
175.0,93.12500745,58.95833805
145.0,93.95834085,58.95833805
326.0,95.20834095,58.95833805
30.0,111.87500895,58.95833805
354.0,112.70834235,58.95833805
193.0,115.20834255,58.95833805
57.0,-131.04167715,58.54167135
334.0,-123.12500985,58.54167135
211.0,-119.37500955,58.54167135
180.0,-116.04167595,58.54167135
170.0,-114.79167585,58.54167135
0.0,79.37500635,58.54167135
218.0,80.20833975,58.54167135
158.0,81.04167315,58.54167135
217.0,82.29167325,58.54167135
145.0,82.70833995,58.54167135
337.0,85.62500685,58.54167135
155.0,87.29167365,58.54167135
188.0,88.95834045,58.54167135
315.0,89.37500715,58.54167135
344.0,89.79167385,58.54167135
77.0,90.62500725,58.54167135
193.0,91.04167395,58.54167135
159.0,91.45834065,58.54167135
112.0,92.29167405,58.54167135
176.0,92.70834075,58.54167135
235.0,93.12500745,58.54167135
154.0,94.37500755,58.54167135
173.0,98.12500785,58.54167135
162.0,101.87500815,58.54167135
15.0,102.29167485,58.54167135
281.0,111.87500895,58.54167135
328.0,112.29167565,58.54167135
87.0,116.04167595,58.54167135
62.0,116.45834265,58.54167135
352.0,-124.37500995,58.12500465
165.0,-122.29167645,58.12500465
11.0,-120.20834295,58.12500465
32.0,53.54167095,58.12500465
42.0,72.29167245,58.12500465
41.0,73.95833925,58.12500465
306.0,85.62500685,58.12500465
321.0,87.29167365,58.12500465
335.0,88.54167375,58.12500465
66.0,88.95834045,58.12500465
48.0,89.37500715,58.12500465
9.0,89.79167385,58.12500465
45.0,90.20834055,58.12500465
21.0,90.62500725,58.12500465
23.0,91.04167395,58.12500465
334.0,91.45834065,58.12500465
78.0,91.87500735,58.12500465
254.0,92.29167405,58.12500465
193.0,92.70834075,58.12500465
3.0,102.70834155,58.12500465
343.0,104.37500835,58.12500465
195.0,104.79167505,58.12500465
117.0,108.95834205,58.12500465
158.0,112.29167565,58.12500465
341.0,117.29167605,58.12500465
359.0,-116.87500935,57.70833795
195.0,84.37500675,57.70833795
345.0,84.79167345,57.70833795
153.0,85.62500685,57.70833795
41.0,88.12500705,57.70833795
45.0,88.95834045,57.70833795
188.0,89.79167385,57.70833795
356.0,90.62500725,57.70833795
359.0,91.04167395,57.70833795
298.0,91.45834065,57.70833795
117.0,91.87500735,57.70833795
71.0,92.29167405,57.70833795
109.0,92.70834075,57.70833795
326.0,93.54167415,57.70833795
122.0,96.87500775,57.70833795
264.0,97.29167445,57.70833795
190.0,102.70834155,57.70833795
130.0,105.20834175,57.70833795
32.0,115.20834255,57.70833795
-9999.0,-158.54167935,57.29167125
220.0,-123.12500985,57.29167125
162.0,-122.70834315,57.29167125
14.0,-119.79167625,57.29167125
90.0,-119.37500955,57.29167125
16.0,-118.95834285,57.29167125
62.0,-116.87500935,57.29167125
202.0,52.70833755,57.29167125
311.0,53.95833765,57.29167125
66.0,91.87500735,57.29167125
175.0,92.29167405,57.29167125
324.0,92.70834075,57.29167125
190.0,96.45834105,57.29167125
308.0,97.29167445,57.29167125
183.0,102.70834155,57.29167125
195.0,103.95834165,57.29167125
25.0,104.79167505,57.29167125
72.0,106.04167515,57.29167125
10.0,109.37500875,57.29167125
343.0,116.04167595,57.29167125
272.0,-126.87501015,56.87500455
350.0,-120.20834295,56.87500455
225.0,-116.87500935,56.87500455
31.0,48.12500385,56.87500455
86.0,49.37500395,56.87500455
39.0,51.45833745,56.87500455
143.0,51.87500415,56.87500455
-9999.0,53.12500425,56.87500455
15.0,54.37500435,56.87500455
285.0,55.62500445,56.87500455
197.0,56.87500455,56.87500455
338.0,58.12500465,56.87500455
145.0,59.37500475,56.87500455
357.0,93.12500745,56.87500455
140.0,93.54167415,56.87500455
252.0,94.79167425,56.87500455
220.0,95.20834095,56.87500455
79.0,97.29167445,56.87500455
13.0,103.95834165,56.87500455
188.0,104.37500835,56.87500455
87.0,-126.04167675,56.45833785
196.0,-125.62501005,56.45833785
21.0,-123.54167655,56.45833785
265.0,-121.45834305,56.45833785
163.0,-120.62500965,56.45833785
139.0,-120.20834295,56.45833785
126.0,-119.79167625,56.45833785
139.0,-117.29167605,56.45833785
359.0,-116.87500935,56.45833785
349.0,96.04167435,56.45833785
72.0,96.45834105,56.45833785
141.0,104.37500835,56.45833785
350.0,111.04167555,56.45833785
198.0,113.12500905,56.45833785
244.0,113.54167575,56.45833785
4.0,-119.79167625,56.04167115
0.0,-118.95834285,56.04167115
176.0,-118.12500945,56.04167115
202.0,-117.70834275,56.04167115
325.0,-116.87500935,56.04167115
164.0,-116.45834265,56.04167115
183.0,93.95834085,56.04167115
233.0,115.20834255,56.04167115
278.0,-126.04167675,55.62500445
158.0,-125.62501005,55.62500445
166.0,-125.20834335,55.62500445
184.0,-124.79167665,55.62500445
65.0,-124.37500995,55.62500445
24.0,-123.54167655,55.62500445
268.0,-123.12500985,55.62500445
148.0,-122.29167645,55.62500445
204.0,-119.79167625,55.62500445
79.0,-118.54167615,55.62500445
144.0,-117.70834275,55.62500445
108.0,-116.87500935,55.62500445
2.0,50.62500405,55.62500445
233.0,51.45833745,55.62500445
339.0,55.62500445,55.62500445
288.0,56.04167115,55.62500445
218.0,56.45833785,55.62500445
329.0,56.87500455,55.62500445
171.0,57.29167125,55.62500445
349.0,87.29167365,55.62500445
291.0,93.12500745,55.62500445
246.0,93.54167415,55.62500445
59.0,-125.20834335,55.20833775
164.0,-124.79167665,55.20833775
184.0,-118.54167615,55.20833775
3.0,51.87500415,55.20833775
341.0,52.29167085,55.20833775
183.0,53.54167095,55.20833775
334.0,53.95833765,55.20833775
59.0,54.37500435,55.20833775
156.0,54.79167105,55.20833775
278.0,56.04167115,55.20833775
183.0,56.45833785,55.20833775
98.0,57.29167125,55.20833775
180.0,57.70833795,55.20833775
135.0,90.20834055,55.20833775
194.0,91.45834065,55.20833775
332.0,92.29167405,55.20833775
36.0,-119.37500955,54.79167105
54.0,-117.70834275,54.79167105
340.0,-117.29167605,54.79167105
18.0,-116.87500935,54.79167105
202.0,-116.45834265,54.79167105
176.0,-115.62500925,54.79167105
258.0,42.29167005,54.79167105
81.0,42.70833675,54.79167105
88.0,53.12500425,54.79167105
141.0,53.54167095,54.79167105
45.0,53.95833765,54.79167105
335.0,54.37500435,54.79167105
83.0,54.79167105,54.79167105
70.0,55.20833775,54.79167105
102.0,55.62500445,54.79167105
94.0,56.04167115,54.79167105
11.0,56.45833785,54.79167105
247.0,56.87500455,54.79167105
355.0,57.29167125,54.79167105
163.0,61.45833825,54.79167105
211.0,65.20833855,54.79167105
344.0,81.04167315,54.79167105
165.0,91.87500735,54.79167105
13.0,92.29167405,54.79167105
125.0,93.12500745,54.79167105
197.0,93.54167415,54.79167105
139.0,93.95834085,54.79167105
181.0,-125.62501005,54.37500435
55.0,-125.20834335,54.37500435
337.0,-118.54167615,54.37500435
104.0,-117.70834275,54.37500435
216.0,-117.29167605,54.37500435
68.0,46.04167035,54.37500435
223.0,51.04167075,54.37500435
348.0,51.45833745,54.37500435
293.0,51.87500415,54.37500435
111.0,52.29167085,54.37500435
280.0,53.54167095,54.37500435
92.0,55.20833775,54.37500435
277.0,56.45833785,54.37500435
325.0,57.70833795,54.37500435
207.0,65.20833855,54.37500435
354.0,81.04167315,54.37500435
350.0,91.45834065,54.37500435
167.0,92.29167405,54.37500435
264.0,94.37500755,54.37500435
323.0,108.12500865,54.37500435
354.0,-125.20834335,53.95833765
54.0,-120.20834295,53.95833765
137.0,-116.45834265,53.95833765
340.0,-112.29167565,53.95833765
18.0,43.95833685,53.95833765
347.0,51.45833745,53.95833765
311.0,51.87500415,53.95833765
229.0,52.29167085,53.95833765
284.0,52.70833755,53.95833765
9.0,53.12500425,53.95833765
209.0,53.54167095,53.95833765
30.0,53.95833765,53.95833765
76.0,54.37500435,53.95833765
8.0,55.20833775,53.95833765
21.0,55.62500445,53.95833765
258.0,56.45833785,53.95833765
297.0,56.87500455,53.95833765
248.0,57.70833795,53.95833765
4.0,61.45833825,53.95833765
180.0,63.12500505,53.95833765
67.0,63.54167175,53.95833765
76.0,64.79167185,53.95833765
169.0,65.20833855,53.95833765
56.0,66.45833865,53.95833765
340.0,80.20833975,53.95833765
79.0,87.70834035,53.95833765
173.0,89.79167385,53.95833765
179.0,92.29167405,53.95833765
50.0,92.70834075,53.95833765
24.0,93.12500745,53.95833765
180.0,115.20834255,53.95833765
346.0,-124.37500995,53.54167095
174.0,-123.54167655,53.54167095
277.0,-120.20834295,53.54167095
339.0,-117.70834275,53.54167095
106.0,-116.45834265,53.54167095
41.0,-114.79167585,53.54167095
77.0,-106.87500855,53.54167095
208.0,-106.45834185,53.54167095
205.0,58.95833805,53.54167095
223.0,60.20833815,53.54167095
351.0,60.62500485,53.54167095
47.0,61.45833825,53.54167095
23.0,63.54167175,53.54167095
34.0,64.79167185,53.54167095
219.0,76.87500615,53.54167095
-9999.0,77.70833955,53.54167095
343.0,80.20833975,53.54167095
7.0,87.70834035,53.54167095
237.0,88.54167375,53.54167095
157.0,88.95834045,53.54167095
316.0,89.37500715,53.54167095
94.0,89.79167385,53.54167095
154.0,90.20834055,53.54167095
287.0,91.87500735,53.54167095
170.0,92.70834075,53.54167095
208.0,93.12500745,53.54167095
61.0,93.54167415,53.54167095
173.0,93.95834085,53.54167095
178.0,94.37500755,53.54167095
174.0,94.79167425,53.54167095
334.0,95.20834095,53.54167095
356.0,95.62500765,53.54167095
15.0,96.87500775,53.54167095
34.0,98.54167455,53.54167095
28.0,98.95834125,53.54167095
252.0,119.79167625,53.54167095
149.0,-124.37500995,53.12500425
303.0,-123.54167655,53.12500425
49.0,-122.70834315,53.12500425
87.0,-121.45834305,53.12500425
88.0,-121.04167635,53.12500425
186.0,-120.62500965,53.12500425
202.0,-118.54167615,53.12500425
85.0,-117.29167605,53.12500425
303.0,-116.87500935,53.12500425
208.0,-115.62500925,53.12500425
307.0,-114.79167585,53.12500425
41.0,-113.95834245,53.12500425
221.0,-113.12500905,53.12500425
135.0,-112.70834235,53.12500425
243.0,-111.87500895,53.12500425
139.0,-111.45834225,53.12500425
66.0,-106.87500855,53.12500425
337.0,47.70833715,53.12500425
8.0,48.12500385,53.12500425
349.0,51.45833745,53.12500425
322.0,61.04167155,53.12500425
310.0,61.45833825,53.12500425
24.0,72.70833915,53.12500425
120.0,73.12500585,53.12500425
113.0,75.20833935,53.12500425
180.0,75.62500605,53.12500425
219.0,77.29167285,53.12500425
18.0,87.70834035,53.12500425
343.0,88.54167375,53.12500425
316.0,88.95834045,53.12500425
11.0,92.70834075,53.12500425
160.0,94.79167425,53.12500425
161.0,95.20834095,53.12500425
77.0,95.62500765,53.12500425
221.0,98.54167455,53.12500425
31.0,102.29167485,53.12500425
65.0,106.04167515,53.12500425
48.0,122.29167645,53.12500425
135.0,-124.79167665,52.70833755
35.0,-122.70834315,52.70833755
219.0,-121.04167635,52.70833755
217.0,-120.20834295,52.70833755
5.0,-119.37500955,52.70833755
85.0,-117.70834275,52.70833755
215.0,-116.87500935,52.70833755
17.0,-111.04167555,52.70833755
164.0,-99.37500795,52.70833755
282.0,47.29167045,52.70833755
342.0,48.12500385,52.70833755
248.0,61.45833825,52.70833755
257.0,67.29167205,52.70833755
209.0,72.29167245,52.70833755
358.0,72.70833915,52.70833755
24.0,76.45833945,52.70833755
347.0,77.29167285,52.70833755
51.0,77.70833955,52.70833755
-9999.0,79.79167305,52.70833755
310.0,81.04167315,52.70833755
136.0,87.29167365,52.70833755
151.0,88.54167375,52.70833755
4.0,88.95834045,52.70833755
61.0,89.79167385,52.70833755
53.0,90.62500725,52.70833755
42.0,91.04167395,52.70833755
51.0,95.20834095,52.70833755
204.0,95.62500765,52.70833755
287.0,100.20834135,52.70833755
3.0,111.04167555,52.70833755
319.0,122.29167645,52.70833755
101.0,-124.37500995,52.29167085
62.0,-122.29167645,52.29167085
243.0,-121.87500975,52.29167085
167.0,-121.04167635,52.29167085
177.0,-105.62500845,52.29167085
91.0,40.20833655,52.29167085
11.0,52.70833755,52.29167085
355.0,53.95833765,52.29167085
146.0,59.37500475,52.29167085
345.0,60.20833815,52.29167085
235.0,67.29167205,52.29167085
90.0,72.70833915,52.29167085
23.0,73.12500585,52.29167085
236.0,76.04167275,52.29167085
121.0,76.45833945,52.29167085
6.0,76.87500615,52.29167085
41.0,77.70833955,52.29167085
348.0,84.37500675,52.29167085
152.0,84.79167345,52.29167085
71.0,86.04167355,52.29167085
169.0,87.29167365,52.29167085
241.0,87.70834035,52.29167085
219.0,88.12500705,52.29167085
43.0,88.95834045,52.29167085
78.0,89.79167385,52.29167085
18.0,90.20834055,52.29167085
179.0,90.62500725,52.29167085
184.0,91.45834065,52.29167085
287.0,91.87500735,52.29167085
301.0,93.12500745,52.29167085
11.0,93.54167415,52.29167085
196.0,94.37500755,52.29167085
124.0,94.79167425,52.29167085
338.0,95.20834095,52.29167085
211.0,95.62500765,52.29167085
132.0,96.04167435,52.29167085
275.0,96.87500775,52.29167085
325.0,97.70834115,52.29167085
12.0,98.54167455,52.29167085
280.0,98.95834125,52.29167085
192.0,108.95834205,52.29167085
15.0,110.62500885,52.29167085
358.0,111.04167555,52.29167085
22.0,-123.12500985,51.87500415
187.0,-121.45834305,51.87500415
329.0,-121.04167635,51.87500415
124.0,-111.45834225,51.87500415
225.0,-99.37500795,51.87500415
72.0,42.29167005,51.87500415
108.0,46.45833705,51.87500415
84.0,59.79167145,51.87500415
178.0,61.45833825,51.87500415
146.0,64.37500515,51.87500415
357.0,64.79167185,51.87500415
331.0,66.87500535,51.87500415
308.0,68.54167215,51.87500415
187.0,72.70833915,51.87500415
200.0,73.12500585,51.87500415
186.0,77.29167285,51.87500415
156.0,79.79167305,51.87500415
18.0,80.20833975,51.87500415
51.0,82.29167325,51.87500415
342.0,82.70833995,51.87500415
352.0,83.54167335,51.87500415
128.0,83.95834005,51.87500415
163.0,84.79167345,51.87500415
345.0,86.04167355,51.87500415
69.0,88.54167375,51.87500415
122.0,88.95834045,51.87500415
134.0,89.37500715,51.87500415
153.0,90.20834055,51.87500415
82.0,90.62500725,51.87500415
211.0,91.04167395,51.87500415
152.0,91.45834065,51.87500415
158.0,92.29167405,51.87500415
342.0,93.12500745,51.87500415
143.0,93.54167415,51.87500415
232.0,93.95834085,51.87500415
175.0,94.37500755,51.87500415
200.0,94.79167425,51.87500415
1.0,95.20834095,51.87500415
210.0,95.62500765,51.87500415
189.0,99.79167465,51.87500415
92.0,107.29167525,51.87500415
147.0,-121.04167635,51.45833745
220.0,-120.62500965,51.45833745
59.0,-118.54167615,51.45833745
97.0,-117.70834275,51.45833745
68.0,-109.79167545,51.45833745
75.0,49.79167065,51.45833745
197.0,50.20833735,51.45833745
27.0,51.04167075,51.45833745
301.0,60.20833815,51.45833745
21.0,60.62500485,51.45833745
205.0,61.04167155,51.45833745
135.0,65.20833855,51.45833745
26.0,66.87500535,51.45833745
253.0,67.70833875,51.45833745
336.0,68.12500545,51.45833745
197.0,68.54167215,51.45833745
21.0,68.95833885,51.45833745
250.0,73.12500585,51.45833745
217.0,74.79167265,51.45833745
333.0,75.20833935,51.45833745
84.0,75.62500605,51.45833745
301.0,78.54167295,51.45833745
321.0,79.79167305,51.45833745
275.0,82.29167325,51.45833745
151.0,83.12500665,51.45833745
61.0,83.54167335,51.45833745
192.0,84.79167345,51.45833745
185.0,86.04167355,51.45833745
251.0,88.54167375,51.45833745
